city_name,graph_area,n,m,k_avg,intersection_count,streets_per_node_avg,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,circuity_avg,self_loop_proportion,clean_intersection_count,clean_intersection_density_km,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,degree_centrality_avg,clustering_coefficient_avg,clustering_coefficient_weighted_avg,pagerank_max_node,pagerank_max,pagerank_min_node,pagerank_min,pos,hours_congestion,year_change,cost,inner_time,inner_mile_speed
suzhou,2791405425.7595572,2209,5302,4.800362154821187,1578,2.596650067904029,2673838.652000003,504.30755413051736,1464915.4939999988,512.0291835022714,2861,0.7913576364131767,0.56530663207786,957.882587504263,524.79495829646,1.04417806529,0.0007544322897019992,,,2.8481967707861777,0.02104664113794997,0.0021740770628718453,0.028368794326241176,0.0003906929838758173,2308245072,0.0016680375604942535,3142506228,6.885395214520999e-05,,,,,,
lima,37746771.596246704,2517,5661,4.498212157330156,2411,3.2193087008343264,519266.01300000155,91.72690567037655,371737.8600000008,94.39762823768429,3938,66.68119930686402,63.87301212906203,13756.56754316001,9848.202754297641,1.0189731150799999,0.004946122593181417,,,2.3124420606542184,0.039855401196844095,0.0017878426698450663,0.03749172295060252,0.001174686363635624,525867127,0.0013642616606824591,31035159,6.151819021336774e-05,,,,,,
cairo,3006426974.1583037,49574,120978,4.880703594626215,46651,3.0569855166014444,14956622.377000405,123.63092774719705,10116143.771000046,133.36511108328008,75853,16.489341143527696,15.517090686382186,4974.882977554357,3364.839345160617,1.0668474987799998,0.0039759295078444015,,,2.53674674896781,0.04568151889472584,9.845487653815764e-05,0.04135501136348085,0.00010523398169490978,3906436301,0.00011207736374030691,1050120879,3.0522796570614893e-06,,,,,,
dongguan,2905303207.227344,21148,48563,4.592680158880271,17913,2.95663892566673,14088945.408999944,290.1168669357318,9574931.752999997,306.8396652139079,31205,7.279102555420523,6.1656215280521955,4849.38899800604,3295.673831626601,1.0576770205700001,0.0004324279801494965,,,2.5449719437614493,0.021388610375474355,0.00021717880355986305,0.042841606095815325,0.00053772961991078,4853233851,0.0002297977840065001,294970020,7.269373289837343e-06,,,,,,
new york city,1230682053.7368743,55452,141682,5.110077183870735,51501,3.3144701724013563,16522827.939000305,116.61910432518108,11267449.533000108,122.67629354252294,91847,45.05794151432056,41.84752661633526,13425.74866418988,9155.451238431026,1.02124896921,0.0011010572973278187,,,2.700897172329176,0.03678811170859568,9.215482468968659e-05,0.04023827557424062,0.0007156504346530925,42727425,8.065459061789181e-05,42424258,2.7141357004579466e-06,,,,,,
nanjing,9130789000.6398,20305,49156,4.841763112533858,17125,2.98867274070426,19587697.97800018,398.48030714460447,12440623.294000098,410.3378617982749,30318,2.2237946795810544,1.8755224766227805,2145.236077257689,1362.491597728124,1.0714379506899998,0.0022581170152168608,,,2.6130135082844057,0.026206676087010144,0.00023846351027060673,0.04206188951818167,0.0004246913243319085,4319032666,0.0002750382709605992,2665700861,7.508126636114888e-06,,,,,,
wenzhou,16285088754.44036,16074,37101,4.616274729376633,13216,2.609991290282444,15478206.710999895,417.19109218080087,9188245.360999996,438.20323163868727,20968,0.9870379119436604,0.8115399430289546,950.452708265378,564.2121759081411,1.1740466354299999,0.0005660224791784587,,,2.575625233296005,0.052678383278364965,0.00028720678960843254,0.027217867363444014,0.00021492503171614493,2492144564,0.0003128627158413247,3868832339,9.44554141442866e-06,,,,,,
quanzhou,13096003058.55455,20088,42086,4.190163281561132,18220,2.5101553166069297,14255447.057001308,338.72183284230636,9451529.764999887,375.3138929039386,25183,1.5339031237380591,1.391264183318769,1088.5341881230997,721.7110230304943,1.14481457373,0.00016632609418809106,,,2.2241039426523455,0.2411722850786937,0.00020860075081205137,0.0330374921772773,0.00010083508441769386,5277456751,0.0002430443294432513,764425493,7.593142750708085e-06,,,,,,
xian,12228000014.799774,24483,63070,5.15214638728914,20312,2.9476779806396274,25207760.17799996,399.67908955129167,14569944.433000062,404.4847292690392,36021,2.002208044681696,1.6611056571324838,2061.478585826836,1191.5230957937347,1.07706602288,0.0009830347233232917,,,2.8917718416860896,0.01905550669915805,0.00021044630288743108,0.03206209167488454,0.0002580325521768425,2407359219,0.00017678672047488747,4563202005,6.1879510581918055e-06,,,,,,
bangalore,794227931.8240018,90053,243306,5.403617869476864,73875,2.8029160605421253,19314449.27699964,79.38336611920641,10267893.493999925,81.43821873066673,126082,113.3843275861462,93.01486014265544,24318.52180348608,12928.144532034989,1.04378854905,0.0009946322737622582,,,2.997172776032403,0.052415270923771774,6.000552868876255e-05,0.026022030412777685,0.0002463087023985762,1273685043,4.260173770066225e-05,265518566,1.667808442355482e-06,,,,,,
