city_name;graph_area;n;m;k_avg;intersection_count;streets_per_node_avg;edge_length_total;edge_length_avg;street_length_total;street_length_avg;street_segments_count;node_density_km;intersection_density_km;edge_density_km;street_density_km;circuity_avg;self_loop_proportion;clean_intersection_count;clean_intersection_density_km;avg_neighbor_degree_avg;avg_weighted_neighbor_degree_avg;degree_centrality_avg;clustering_coefficient_avg;clustering_coefficient_weighted_avg;pagerank_max_node;pagerank_max;pagerank_min_node;pagerank_min
"""Boston, United States""";240486408.65460944;11142;25617;4.598276790522348;9613;2.947675462215042;2621311.3650000035;102.32702365616596;1735592.429999999;106.13945878180033;16352;46.33110063197927;39.97315296851703;10900.03954761857;7217.008394402386;1.04013306272;0.002537377522738806;;;2.4830969903667746;0.03743058723836304;0.0004127346549252736;0.04741219410040042;0.001055483666910065;61345566;0.0004419451173710817;61338328;1.3570268836259166e-05
"""Mumbai, India""";593387120.6511759;21797;54896;5.037023443593155;17657;2.7855668211221727;6495935.344000106;118.33166977557757;3715758.9460000144;122.26108666754456;30392;36.73318688831708;29.756291273432797;10947.213240610185;6261.947414568731;1.07324048789;0.0018944914019236375;;;2.8001819822300407;0.03990432385829386;0.0002310985246647935;0.03879891728219543;0.00047446703963956665;620389508;0.0002080297228631286;2231177362;6.888218563956722e-06
"""Guadalajara, Mexico""";166446270.67733896;19825;50323;5.07672131147541;18461;3.3316015132408574;4343281.470000026;86.30807920831481;2910636.816000008;88.54725490554009;32871;119.10750489827045;110.91266824347899;26094.195155742516;17486.94521154135;1.01662244758;0.0016294736005405084;;;2.685430012610369;0.04225320366168681;0.0002560896545336895;0.02109962168978549;0.0009144904300604271;1612663405;0.00032506883683867553;130154244;7.618135590932202e-06
"""Saint Petersburg , Russia""";867911590.2396469;13060;27963;4.282235834609494;11967;3.0806278713629403;4758286.038999962;170.16364621106325;3390818.0339999874;169.3123300544259;20027;15.047615617615943;13.788270757734303;5482.454771327698;3906.8703219687595;1.03932844414;0.000429138504452312;;;2.269093864702604;0.04037694314898379;0.0003279145290305722;0.05989462553781123;0.0007780862232859212;106191031;0.0004259330174874262;699900;1.1562255904128602e-05
"""Paris, France""";120379644.25539263;10684;20903;3.9129539498315236;10165;3.1403968551104455;1930641.9710000057;92.36195622637926;1568495.1090000048;94.3512457290667;16624;88.75254671240974;84.44118657166277;16037.943814687085;13029.570893832753;1.02144594182;0.002152801033344496;;;1.998522713091227;0.10721853734610536;0.00036627856873828703;0.06579085771335917;0.0030197168159562075;1758970671;0.0005026364944057978;361136;1.4184714684257846e-05
"""Shantou, China""";3385904309.4640694;6986;16254;4.653306613226453;5537;2.7928714572001145;6205377.604000064;381.7754155284892;3704701.2229999853;380.985317050595;9724;2.063259726647669;1.6353090619021105;1832.7090894610276;1094.1541415227935;1.07890729766;0.00030761658668635415;;;2.644605878423507;0.028110845897221338;0.0006661856282357311;0.04687470178452123;0.0005521400461191013;3357190060;0.0006054546248621433;1315997923;2.171917064902171e-05
"""Baghdad, Iraq""";887165888.7230948;49570;139792;5.640185596126689;46949;3.0401250756505953;14215106.829000063;101.68755600463591;7878827.389999958;104.66030007970188;75280;55.87455585262246;52.92020421070752;16023.05387266409;8880.895320874002;1.03213785416;0.00030044637747510586;;;2.931475018492319;0.039002497671758965;0.00011378453461080568;0.026614888037118895;0.00024049403625281721;26663502;8.579489301299494e-05;21583503;3.029826207582556e-06
"""Monterrey, Mexico""";327359986.49772286;25706;68879;5.358982338753599;23424;3.0833657511864936;6318763.015000067;91.73714796962886;3694967.584999976;93.40396837634864;39559;78.52517430433977;71.55425515073736;19302.184981743398;11287.169285809092;1.05157545414;0.001117902408571553;;;2.834755180372967;0.04990321027761411;0.00020848015322912254;0.03460235335089516;0.00016282743643725834;4751771382;0.00023839455781440275;293537866;5.863265554759493e-06
"""Montréal, Canada""";616882129.8891046;19736;50079;5.074888528577219;18737;3.2497466558573165;6478782.960000039;129.37125262085982;4326082.756999972;134.59283047103392;32142;31.993145924891508;30.37371175489928;10502.464970357812;7012.819057957899;1.0654618491;0.01100261586693025;;;2.599861505202015;0.030312033923119434;0.0002571516862719852;0.05510886559731387;0.0010929748637400905;110744815;0.0001998058835308473;31243662;7.672949360611732e-06
"""Zhongshan, China""";1863674958.8386302;17399;42893;4.930513247887809;14795;2.8905109489051095;9303460.534000007;216.89927340125445;5755405.585999979;228.8067737139214;25154;9.335855438462499;7.93861608207671;4991.997391968803;3088.202456498382;1.07167823547;0.0025878348448464786;;;2.6854828821579946;0.03439929644480412;0.00028339540452281735;0.05335172519493563;0.0006074181172593742;5235882009;0.0003809873759052106;993708417;8.747545432249668e-06
"""Fortaleza, Brazil""";374312653.41746414;35305;95224;5.39436340461691;31908;3.1202945758391163;8344076.419999971;87.62577102411126;4866618.280000032;88.41805708471925;55041;94.31954724924826;85.24424624356362;22291.729504249415;13001.479473290421;1.02452600279;0.0007666134587919013;;;2.8870315819288375;0.0447374786209724;0.00015279751316041047;0.023545295756031228;0.0008448579747757129;2777141764;0.00011823391729104516;1897549809;4.2531953692268556e-06
"""Nairobi, Kenya""";954342426.3225929;19888;47658;4.792638777152051;14685;2.5530470635559133;6979520.98599994;146.4501444878077;3760200.7069999897;148.25536044631903;25363;20.839480097972018;15.387558590040179;7313.434668198099;3940.095927087017;1.08466668327;0.004238532880104075;;;2.750082126575585;0.03816463728780104;0.0002409935524288854;0.036085411638509396;0.00045764809397788527;4310352962;0.0002032663817834577;30092278;7.573905507781148e-06
"""Salvador, Brazil""";609034699.2275448;24420;57579;4.7157248157248155;18927;2.6353808353808352;5670794.425000033;98.48719889195772;3245373.091999989;100.70666828027025;32226;40.096237588716285;31.07704704511192;9311.118778934033;5328.716239183389;1.09119628698;0.003925042116049254;;;2.6657111657112416;0.04465500463530871;0.000193117032463492;0.052508872508872165;0.0010217597873049755;340233878;0.00017381369196790698;616007843;6.1621987987446226e-06
"""Seattle, United States""";308415525.98125315;15729;45842;5.828978320300083;13611;3.111958802212474;5583420.170999999;121.79704574407747;2998476.1409999905;122.87325906650783;24403;50.99937803052132;44.132019478252;18103.56386318691;9722.1958312898;1.0261947394;0.0007198638802844553;;;3.188028482421028;0.036633247529914696;0.00037061154121954327;0.037835481322034896;0.0007859656100651853;1315179681;0.000295521257987376;53082879;9.560635862225332e-06
"""Detroit, United States""";457053238.6083831;20718;59876;5.780094603726228;19646;3.383579496090356;8496720.610000003;141.90528108090058;4939823.997999984;142.1736652180165;34745;45.32951142208578;42.98405161686925;18590.220771371118;10807.983798650144;1.01169772968;0.0006513461153049636;;;3.0375711941307304;0.029431214592348473;0.0002790024908880137;0.02105392596270073;0.00047727726115548257;62685658;0.0002186477391840862;62550519;7.26957996735808e-06
"""Curitiba, Brazil""";481330468.08353317;31778;85174;5.360563912140474;26550;2.957832462710051;9078479.681000177;106.58745252072436;5035664.509999992;107.1714412497072;46987;66.02116862979271;55.15960812892556;18861.219646342106;10461.969154061677;1.02916717078;0.0011271045154624651;;;2.9665088006377145;0.040883447703095946;0.00016869320301288995;0.03330291396563736;0.0007245481572695927;370965131;0.00014185694920898275;266901836;4.7273651821524515e-06
"""Dhaka, Bangladesh""";1838136014.0651658;14212;37431;5.267520405291303;11314;2.6844919786096257;5858021.571999977;156.50187203120348;2963955.0410000025;157.28071323958622;18845;7.731745578810119;6.155148429401751;3186.9358563105216;1612.4786296118587;1.10392489636;0.00032058988538911595;;;2.8978633080026452;0.035370120588142956;0.0003706650063535939;0.03963786471526384;0.0006772637266176061;5068406008;0.00024392198996458445;2606773547;1.05967829634501e-05
"""Atlanta, United States""";461645775.957844;14101;36687;5.203460747464719;11772;2.823913197645557;5497451.523000059;149.84739888789105;3030617.260999983;151.77370097155364;19968;30.545064493967462;25.500070861852706;11908.37609548943;6564.8109845951;1.07598292998;0.01450104941804999;;;2.8231189277356146;0.03243960748205878;0.00036903976932377514;0.05372432215209411;0.001786086638661905;69373735;0.00023878907249830764;68151642;1.0730984372378737e-05
"""Belo Horizonte, Brazil""";381052179.8685151;29946;80357;5.3667935617444735;27561;3.133039471047886;8465679.733999992;105.35086842465488;4902564.627000022;105.14432897248422;46627;78.58766222078324;72.32867690065474;22216.5891740106;12865.861648375005;1.03654078875;0.0010951130579787698;;;2.855748919483614;0.037603858472748164;0.00017922169182647116;0.04579624276077809;0.0009200871520473283;28404508;0.00014855581033143686;73236574;5.023101886638978e-06
"""Washington, D.C., United States""";182889504.19234914;10164;27454;5.402203856749312;9507;3.271841794569067;3340651.278000004;121.68176870401413;2003345.7650000004;121.1359151650744;16538;55.5745396373883;51.98220664429856;18265.954040132143;10953.858581698789;1.03739599513;0.0042252495082683765;;;2.848755411255405;0.03509815858003477;0.0005315560225080142;0.07049483705327905;0.0012356921426727283;49749813;0.000607039796103751;49768314;1.4892743647172623e-05
"""Philadelphia, United States""";495689292.4883155;24809;61684;4.972711515982104;23653;3.321294691442622;6839257.311999955;110.87571026522203;4565731.835999964;110.97496077001516;41142;50.04949748956864;47.71739143539711;13797.468324698928;9210.874443303792;1.03305334173;0.0033233901822190518;;;2.5918047214048627;0.0331578101859843;0.00020044790051519326;0.037772582530533984;0.0010448441248920705;110250592;0.0001978962342908245;109758248;6.069998376320942e-06
"""Chennai , India""";506981216.7664513;42250;111553;5.280615384615385;34068;2.742343195266272;9968503.681000141;89.36114385987057;5287404.714999925;91.51083810726952;57779;83.33642076420972;67.19775580106737;19662.471411820145;10429.192522601186;1.04851498261;0.0005378609270929514;;;2.9434923076920305;0.0467738763447285;0.000124987937811828;0.02763708086785029;0.0004275333736649311;2166734647;0.00010426378054154159;256018770;3.55747566222875e-06
"""Guatemala City , Guatemala""";282148156.0106257;18087;42598;4.7103444462873885;14765;2.8493393044728257;3906775.971000002;91.71266188553459;2383561.426999995;92.72393320625515;25706;64.10461884896687;52.33066275805804;13846.540860798228;8447.907158784443;1.07773350766;0.0023005774919010284;;;2.6135014098524167;0.04679099834504976;0.0002604414710985645;0.0391367648955977;0.0009344109323304508;412172096;0.00022842637998124148;282540334;8.346210019847993e-06
"""Recife, Brazil""";289871156.0172646;18046;47138;5.224204809930178;15886;2.937991798736562;4153813.8459999873;88.12028185328158;2381816.8520000004;90.15203830431493;26420;62.25524556477495;54.803659040342176;14329.862629562867;8216.812202791714;1.04115274685;0.0012728584157155585;;;2.8140843769626396;0.04901761415618862;0.00028950982598672853;0.036299826369648236;0.0007028373007737268;2372812651;0.00022530617565979383;1415650435;8.336665598178203e-06
"""Taiyuan , China""";7563661500.422032;7026;15000;4.269854824935952;6108;3.0;7185417.539999985;479.027835999999;4831031.903;459.70424426681893;10509;0.928915182099036;0.8075453931484361;949.9919502742234;638.7160375607027;1.10536751795;0.0002666666666666667;;;2.3244401745896237;0.018938526679986873;0.0006078085160051122;0.037934610223252556;0.0003071891933988031;5770521679;0.0006802297402473224;314357951;2.1903913514949995e-05
"""Kuala Lumpur, Malaysia""";294792487.3636696;25604;59689;4.662474613341665;21343;2.7614825808467427;5914699.970999996;99.09195950677673;3695597.7789999763;105.11698321813512;35157;86.85431650235282;72.4000811244226;20063.944043809195;12536.268519085144;1.10253681039;0.003769538775988876;;;2.5392464719055248;0.04445025906425415;0.00018210657396949598;0.052815966255271775;0.0006033528577765209;5725167631;0.00018809153379322364;33579786;5.937259864453011e-06
"""Medellín, Colombia""";395956902.281895;15843;39279;4.958530581329294;13521;2.9307580634980748;3940907.5480000246;100.33115781970072;2307109.3809999996;99.60752011916068;23162;40.011930360847295;34.147655772834455;9952.869934299972;5826.667921948462;1.10679497059;0.0006364724152855215;;;2.7080287824275744;0.046386046002891035;0.00031299902672188827;0.04263742737516692;0.0003805035079576629;360500787;0.00027951489792747935;339266762;9.50752563566421e-06
