city_name,hours_congestion,inner_time,inner_mile_speed,graph_area,n,m,k_avg,intersection_count,streets_per_node_avg,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,circuity_avg,self_loop_proportion,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,degree_centrality_avg,clustering_coefficient_avg,clustering_coefficient_weighted_avg,pagerank_max_node,pagerank_max,pagerank_min_node,pagerank_min,cluster,x-tsne,y-tsne
"albuquerque, nm",57,4,16,677097622.0430789,22985,57726,5.022927996519469,18919,2.9041113769849902,7197005.12999996,124.67527855732183,4183352.442999995,126.19464383107074,33150,33.946360541992306,27.94131803758767,10629.198649795384,6178.359378042296,1.0617598135700002,0.0017669680906350692,2.77690885360023,0.03796324605715815,0.0002185402017280775,0.047554202015807734,0.0006195316575372487,140886274,0.00017212108550618133,140740499,6.596245944858283e-06,0,1.458689,1.8431213
amsterdam,69,4,16,247568313.32650623,13227,30250,4.573977470325849,11337,2.9125274060633557,2961222.8920000037,97.89166585123978,1970730.576,102.14744083346292,19293,53.42767748534737,45.79342100637962,11961.23547561834,7960.350618057069,1.08975295542,0.007041322314049588,2.457754340868402,0.048697898332389765,0.0003458322599671091,0.06207504851188311,0.001025091615348529,46388344,0.00033729605984704676,46128874,1.1472315294910365e-05,1,-0.6037318,-2.2297068
antwerp,141,6,10,249469350.62888893,8058,18083,4.488210474063043,7168,2.9447753785058333,2158295.904000001,119.35496897638671,1433858.0829999966,121.54429795710743,11797,32.300561089715174,28.732988569257675,8651.547368681317,5747.63224173781,1.0552521583399999,0.003318033512138473,2.4019711260031493,0.0459570502582022,0.0005570572761651458,0.06691486721270708,0.0009144119074482092,338768932,0.0006848967029867059,21280953,1.8854922158656367e-05,1,-2.2527459,-2.0612528
"atlanta, ga",108,4,14,461645775.957844,14105,36697,5.203403048564339,11775,2.823679546260192,5497836.373000058,149.81705242935553,3030771.4479999836,151.75102383336588,19972,30.55372914597625,25.50656935085929,11909.209743320826,6565.14497876992,1.0759859419,0.014497097855410526,2.8233108826657145,0.03246715003268007,0.0003689310159220104,0.0537799834574037,0.0017869603928117868,69373735,0.00023869676139430635,68151642,1.0726810447705616e-05,0,-1.413365,2.2241113
auckland,150,5,11,10754679946.167742,36767,83730,4.554627791225828,28758,2.6379361927815705,16733304.665999735,199.8483777140778,8960365.961000137,181.78871903023204,49290,3.4186977375464647,2.6739986818712773,1555.9091251211414,833.159704040567,1.10527929559,0.02021975397109757,2.5604137768469704,0.04542906021191815,0.00012388151529200406,0.08447248891669834,0.00035306376483887797,354096404,0.00012377267553108956,316392510,4.088485187763143e-06,2,3.903775,-0.14510714
augsburg,82,5,12,149131508.62474582,4754,12180,5.124106015986538,4139,2.8586453512831302,1401553.461999995,115.07007077175655,774218.1670000005,114.32636842882462,6772,31.87790456785573,27.75402755707927,9398.104229782002,5191.513008482583,1.06052420902,0.0032019704433497533,2.7685317627261337,0.04134109666796247,0.0010780782697215221,0.06811807600617008,0.002762444478431098,9912418,0.0008209638878359545,9929865,3.186903744039426e-05,0,-4.417881,-1.1152653
"austin, tx",104,5,13,1143268916.2575707,25973,64829,4.992030185192316,21422,2.8359835213490934,9330299.266000027,143.9216903854761,5492941.829999987,149.83474713584252,36660,22.718189597090785,18.737498846836285,8161.071409640228,4804.59299810305,1.0667642686,0.004072251615789229,2.7498761534414173,0.03235094887880737,0.00019220815436593892,0.052337684005183696,0.0005090426475807193,1619354381,0.00017324964930527523,26546091,5.8217564858831525e-06,2,2.5059323,1.6040076
"bakersfield, ca",50,3,20,675695865.3925046,12313,30068,4.88394379923658,9514,2.7492893689596363,4287039.535999995,142.57814074763849,2422210.1500000064,145.88112201879102,16604,18.22269549162848,14.08029926966242,6344.628930812974,3584.7639064551176,1.06212018343,0.0016628974324863642,2.798377054062065,0.029761951510567864,0.00039668159512970183,0.02899645361271276,0.0006120892135171465,88946802,0.000390293108428785,27274430,1.2299195288877251e-05,0,0.07342332,1.5705537
"baltimore, md",94,6,10,242326867.4319122,12733,32405,5.089923819995287,11648,3.2018377444435715,3878822.32,119.69826631692638,2480962.626999997,122.37767607162223,20273,52.544730738854845,48.06730728392218,16006.571459063867,10238.083186120852,1.03768599031,0.0025613331276037646,2.7144728919605075,0.03310943928219882,0.000399774098334552,0.04347496007748882,0.0012260744543095602,49511609,0.0004673755214904296,37451063,1.188623361250473e-05,1,-0.18312083,0.045988236
barcelona,147,7,9,119284249.27617957,8802,16676,3.7891388320836175,8139,3.160645307884572,1704213.107999993,102.19555696809743,1383037.367999997,100.07506280752511,13820,73.79012781159963,68.23197571672453,14286.991940186654,11594.467638370612,1.0643519987999999,0.0007195970256656273,1.946218662425211,0.038558657061070235,0.0004305350337556583,0.044770128001211495,0.0008567511863456037,4541533775,0.0006492540488140997,21638865,1.7527965036965758e-05,1,-2.3682432,-4.978744
bari,133,7,9,195220786.43734884,6184,13593,4.396183699870634,5304,2.847671410090556,1495718.3909999928,110.03592959611512,943349.0979999999,107.81132548571426,8750,31.676954656591334,27.169237952548585,7661.675881425699,4832.2164622707505,1.07348299413,0.0015449128227764289,2.3805708279430884,0.0491929419578755,0.0007110114345577909,0.07771129797326301,0.0016427559461243732,310698762,0.0007969747585591097,279651456,2.45658424409323e-05,1,-3.194726,-2.690953
